epoch,sunroof,luggage_carrier,open_cargo_area,enclosed_cab,spare_wheel,wrecked,flatbed,ladder,enclosed_box,soft_shell_box,harnessed_to_a_cart,ac_vents,bus,cement mixer,crane truck,dedicated agricultural vehicle,hatchback,jeep,light truck,minibus,minivan,pickup,prime mover,sedan,tanker,truck,van,large vehicle,small vehicle,black,blue,green,other,red,silver/grey,white,yellow
1,0.056179775280898875,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2651006711409396,0.0,0.0,0.0,0.0,0.0,0.0,0.5026778882938026,0.0,0.0,0.06451612903225806,0.15384615384615385,0.958724666337123,0.10638297872340426,0.0,0.03125,0.045454545454545456,0.037037037037037035,0.3014705882352941,0.5582329317269076,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5152332165004044,0.0,0.0,0.0,0.0,0.9589276930644368,0.373134328358209,0.0,0.0,0.0,0.0,0.502262443438914,0.7014873746108613,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45161290322580644,0.0,0.0,0.0,0.0,0.0,0.0,0.5270524899057873,0.0,0.0,0.0,0.0,0.9589276930644368,0.4772727272727273,0.0,0.0,0.0,0.0,0.5293056807935077,0.7236126224156693,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5421946616338635,0.0,0.0,0.0,0.0,0.9589276930644368,0.40444444444444444,0.0,0.0,0.0,0.0,0.5139318885448917,0.739590942293645,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.5616915422885572,0.0,0.0,0.0,0.0,0.9589276930644368,0.4551083591331269,0.0,0.0,0.0,0.0,0.5342771982116244,0.7456076134699854,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.5774134790528234,0.0,0.0,0.0,0.0,0.9589276930644368,0.5174603174603175,0.0,0.0,0.0,0.0,0.5395522388059701,0.7466467958271237,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47398843930635837,0.0,0.0,0.0,0.0,0.0,0.0,0.611243072050673,0.0,0.0,0.0,0.0,0.9589276930644368,0.5159420289855072,0.0,0.0,0.0,0.0,0.5708185053380783,0.7534813699661272,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51953125,0.0,0.0,0.0,0.0,0.0,0.0,0.6368921775898521,0.0,0.0,0.0,0.0,0.9589226417414832,0.5518072289156627,0.0,0.0,0.0,0.0,0.5873129009265858,0.7484323127997049,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514745308310992,0.0,0.0,0.0,0.0,0.0,0.0,0.6421825813221406,0.0,0.0,0.5,0.6,0.9592765748031497,0.5633802816901409,0.0,0.0,0.0,0.0,0.611756168359942,0.7499096494398265,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.6606488749345892,0.0,0.0,0.0,0.0,0.9589175891758918,0.5808656036446469,0.0,0.0,0.0,0.0,0.6185636856368564,0.7480086893555394,0.0
