Executing COFGA_resnet152_dropOut_weightDecay_batchNorm_200epochs
Total number of images:  11617
Number of train images:  8132
Number of validation images:  3485

Dataloader completed
USING CUDA!
Network constructed
[64], Train loss: 3.915, Val loss: 4.129, Train mAP: 49.489 %, Val mAP: 50.513 %
[65], Train loss: 3.896, Val loss: 6.571, Train mAP: 55.682 %, Val mAP: 48.177 %
[66], Train loss: 3.842, Val loss: 3.995, Train mAP: 49.866 %, Val mAP: 47.193 %
[67], Train loss: 3.831, Val loss: 3.994, Train mAP: 53.131 %, Val mAP: 49.096 %
[68], Train loss: 3.824, Val loss: 3.816, Train mAP: 52.980 %, Val mAP: 51.765 %
[69], Train loss: 3.803, Val loss: 3.924, Train mAP: 51.513 %, Val mAP: 47.133 %
[70], Train loss: 3.773, Val loss: 5.045, Train mAP: 51.986 %, Val mAP: 46.410 %
[71], Train loss: 3.766, Val loss: 3.996, Train mAP: 49.914 %, Val mAP: 49.709 %
[72], Train loss: 3.743, Val loss: 5.302, Train mAP: 51.668 %, Val mAP: 44.060 %
[73], Train loss: 3.691, Val loss: 7.308, Train mAP: 52.891 %, Val mAP: 47.693 %
[74], Train loss: 3.711, Val loss: 4.621, Train mAP: 56.300 %, Val mAP: 46.326 %
[75], Train loss: 3.656, Val loss: 3.970, Train mAP: 54.252 %, Val mAP: 52.731 %
[76], Train loss: 3.693, Val loss: 4.714, Train mAP: 56.567 %, Val mAP: 48.663 %
[77], Train loss: 3.645, Val loss: 3.939, Train mAP: 53.456 %, Val mAP: 55.751 %
[78], Train loss: 3.609, Val loss: 7.238, Train mAP: 54.902 %, Val mAP: 50.961 %
[79], Train loss: 3.636, Val loss: 4.028, Train mAP: 53.793 %, Val mAP: 56.210 %
[80], Train loss: 3.603, Val loss: 4.060, Train mAP: 56.580 %, Val mAP: 51.903 %
[81], Train loss: 3.582, Val loss: 5.083, Train mAP: 54.897 %, Val mAP: 53.650 %
[82], Train loss: 3.555, Val loss: 4.059, Train mAP: 55.692 %, Val mAP: 46.650 %
[83], Train loss: 3.550, Val loss: 7.129, Train mAP: 61.068 %, Val mAP: 56.343 %
[84], Train loss: 3.514, Val loss: 6.300, Train mAP: 55.172 %, Val mAP: 52.378 %
[85], Train loss: 3.479, Val loss: 3.971, Train mAP: 62.771 %, Val mAP: 55.460 %
[86], Train loss: 3.525, Val loss: 4.871, Train mAP: 59.621 %, Val mAP: 48.042 %
[87], Train loss: 3.466, Val loss: 5.493, Train mAP: 63.008 %, Val mAP: 55.848 %
[88], Train loss: 3.444, Val loss: 4.559, Train mAP: 60.267 %, Val mAP: 50.816 %
[89], Train loss: 3.444, Val loss: 4.199, Train mAP: 63.405 %, Val mAP: 50.699 %
[90], Train loss: 3.502, Val loss: 4.114, Train mAP: 58.017 %, Val mAP: 51.106 %
[91], Train loss: 3.434, Val loss: 4.099, Train mAP: 61.229 %, Val mAP: 52.669 %
[92], Train loss: 3.438, Val loss: 3.848, Train mAP: 57.362 %, Val mAP: 56.830 %
[93], Train loss: 3.361, Val loss: 6.596, Train mAP: 62.945 %, Val mAP: 52.837 %
[94], Train loss: 3.411, Val loss: 3.930, Train mAP: 59.534 %, Val mAP: 50.099 %
[95], Train loss: 3.386, Val loss: 3.868, Train mAP: 59.601 %, Val mAP: 55.239 %
[96], Train loss: 3.346, Val loss: 3.877, Train mAP: 62.891 %, Val mAP: 55.573 %
[97], Train loss: 3.347, Val loss: 5.412, Train mAP: 62.994 %, Val mAP: 50.360 %
[98], Train loss: 3.330, Val loss: 8.408, Train mAP: 64.386 %, Val mAP: 54.092 %
[99], Train loss: 3.276, Val loss: 7.474, Train mAP: 62.614 %, Val mAP: 52.327 %
[100], Train loss: 3.282, Val loss: 6.169, Train mAP: 60.761 %, Val mAP: 51.115 %
[101], Train loss: 3.241, Val loss: 3.904, Train mAP: 62.782 %, Val mAP: 53.270 %
[102], Train loss: 3.282, Val loss: 7.696, Train mAP: 63.475 %, Val mAP: 52.222 %
[103], Train loss: 3.230, Val loss: 8.380, Train mAP: 64.170 %, Val mAP: 47.501 %
[104], Train loss: 3.212, Val loss: 5.721, Train mAP: 65.213 %, Val mAP: 49.429 %
[105], Train loss: 3.172, Val loss: 7.105, Train mAP: 60.505 %, Val mAP: 55.742 %
[106], Train loss: 3.218, Val loss: 4.170, Train mAP: 64.267 %, Val mAP: 57.296 %
[107], Train loss: 3.182, Val loss: 4.258, Train mAP: 63.847 %, Val mAP: 56.392 %
[108], Train loss: 3.138, Val loss: 4.221, Train mAP: 63.271 %, Val mAP: 53.562 %
[109], Train loss: 3.185, Val loss: 3.962, Train mAP: 59.970 %, Val mAP: 57.982 %
[110], Train loss: 3.106, Val loss: 5.009, Train mAP: 68.137 %, Val mAP: 53.850 %
[111], Train loss: 3.120, Val loss: 4.234, Train mAP: 63.496 %, Val mAP: 51.119 %
[112], Train loss: 3.125, Val loss: 3.995, Train mAP: 64.569 %, Val mAP: 53.185 %
[113], Train loss: 3.107, Val loss: 4.192, Train mAP: 64.085 %, Val mAP: 52.429 %
[114], Train loss: 3.049, Val loss: 4.683, Train mAP: 66.747 %, Val mAP: 56.650 %
[115], Train loss: 3.071, Val loss: 5.615, Train mAP: 64.860 %, Val mAP: 53.985 %
[116], Train loss: 3.032, Val loss: 9.135, Train mAP: 64.940 %, Val mAP: 46.955 %
[117], Train loss: 3.022, Val loss: 4.089, Train mAP: 64.741 %, Val mAP: 56.426 %
[118], Train loss: 2.992, Val loss: 5.444, Train mAP: 66.394 %, Val mAP: 55.738 %
