epoch,sunroof,luggage_carrier,open_cargo_area,enclosed_cab,spare_wheel,wrecked,flatbed,ladder,enclosed_box,soft_shell_box,harnessed_to_a_cart,ac_vents,bus,cement mixer,crane truck,dedicated agricultural vehicle,hatchback,jeep,light truck,minibus,minivan,pickup,prime mover,sedan,tanker,truck,van,large vehicle,small vehicle,black,blue,green,other,red,silver/grey,white,yellow
1,0.017241379310344827,0.03125,0.0,0.0,0.0,0.047619047619047616,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27414330218068533,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.512954599477062,0.0,0.0,0.0,0.05405405405405406,0.9589870290302656,0.11538461538461539,0.08450704225352113,0.0,0.0,0.08333333333333333,0.28719723183391005,0.4854639585822382,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3090909090909091,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5287190579187695,0.0,0.0,0.0,0.0,0.9589276930644368,0.2878787878787879,0.0,0.0,0.0,0.0,0.5059665871121718,0.6072739406072739,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26881720430107525,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.5880119338215352,0.0,0.0,0.0,0.0,0.9589276930644368,0.4172661870503597,0.0,0.0,0.0,0.0,0.5981922760887428,0.6650519031141868,0.0
4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31901840490797545,0.0,0.0,0.0,0.0,0.0,0.0,0.6004033419763757,0.0,0.0,0.0,0.0,0.9589276930644368,0.375,0.0,0.0,0.0,0.0,0.6293810589112603,0.7089748404055577,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46218487394957986,0.0,0.0,0.0,0.0,0.0,0.0,0.6179001721170396,0.0,0.0,0.0,0.0,0.9589276930644368,0.49236641221374045,0.0,0.0,0.0,0.42857142857142855,0.6173228346456693,0.6658670322138451,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.6235261089275688,0.0,0.0,0.0,0.0,0.9589276930644368,0.4523809523809524,0.0,0.0,0.0,0.2727272727272727,0.6551465063861758,0.703730797366496,0.0
7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6090780141843971,0.0,0.0,0.0,0.0,0.9589276930644368,0.49743589743589745,0.0,0.0,0.0,0.25,0.6561024949426838,0.7039127163280662,0.5
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37058823529411766,0.0,0.0,0.0,0.0,0.0,0.0,0.6265256305939788,0.0,0.0,0.0,0.0,0.9589276930644368,0.5518672199170125,0.375,0.0,0.0,0.48,0.6607142857142857,0.6920289855072463,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5285171102661597,0.0,0.0,0.0,0.0,0.0,0.0,0.66279407493465,0.0,0.0,0.0,0.0,0.9589276930644368,0.5806451612903226,0.5,0.0,0.0,0.6206896551724138,0.6785969935576235,0.696689213243147,0.375
10,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46736292428198434,0.0,0.0,0.0,0.0,0.0,0.0,0.6694011484823625,0.0,0.0,1.0,0.0,0.9589276930644368,0.6141304347826086,0.6101694915254238,0.0,0.0,0.8192771084337349,0.6979236436704621,0.7324695121951219,0.7096774193548387
11,0.0,0.0,0.0,0.0,0.0,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48699763593380613,0.0,0.0,0.0,0.0,0.0,0.0,0.6787369640787949,0.0,0.0,0.0,0.0,0.9589226417414832,0.6370023419203747,0.6363636363636364,0.0,0.0,0.8702702702702703,0.706145966709347,0.7500991669972233,0.6129032258064516
12,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5346534653465347,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.696942712971208,0.0,0.0,0.0,0.0,0.9589276930644368,0.6659142212189616,0.7310924369747899,0.0,0.0,0.9020618556701031,0.7189826302729528,0.7522058823529412,0.7017543859649122
13,0.0,0.0,0.0,0.0,0.0,0.5671641791044776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5547703180212014,0.0,0.0,0.0,0.0,0.0,0.0,0.6978586095629217,0.0,0.0,0.5,0.5,0.9590405904059041,0.6588983050847458,0.7222222222222222,0.0,0.0,0.9166666666666666,0.7288343558282209,0.7563729060451566,0.7777777777777778
14,1.0,0.0,0.0,0.0,0.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5564142194744977,0.0,0.0,0.0,0.0,0.0,0.0,0.7066127634998556,0.0,0.0,0.0,0.2,0.9590254706533776,0.6530612244897959,0.7785234899328859,0.0,0.0,0.9113300492610837,0.7301864801864801,0.7543604651162791,0.7073170731707317
15,0.6666666666666666,0.0,0.0,0.0,0.0,0.6074766355140186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5584218512898331,0.0,0.0,0.0,0.0,0.0,0.0,0.7220708446866485,0.0,0.0,0.0,0.5625,0.9599556431739773,0.6865079365079365,0.7621951219512195,0.0,0.0,0.8944444444444445,0.7215639810426541,0.7486855941114616,0.8024691358024691
16,0.625,0.0,0.0,0.0,0.0,0.6097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56158940397351,0.0,0.0,0.0,0.5,0.0,0.0,0.7336139506915214,0.0,0.0,0.0,0.6206896551724138,0.9610020979883993,0.7154308617234469,0.8,0.0,0.0,0.8957345971563981,0.719369894982497,0.7686746987951807,0.7976190476190477
17,0.7258064516129032,0.0,0.0,0.0,0.0,0.6867469879518072,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5465116279069767,0.0,0.0,0.0,0.4,0.0,0.0,0.7380952380952381,0.0,0.3333333333333333,0.6,0.7115384615384616,0.963361802203243,0.7033582089552238,0.7900552486187845,0.0,1.0,0.8894736842105263,0.7364066193853428,0.7699894328989081,0.8255813953488372
18,0.73,0.0,0.0,0.0,0.0,0.6993865030674846,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5709046454767727,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.7484008528784648,0.0,0.6666666666666666,0.3333333333333333,0.7758620689655172,0.9643255295429208,0.7091633466135459,0.7912087912087912,0.0,0.0,0.8883248730964467,0.7419547079856973,0.7642361111111111,0.9
19,0.7321428571428571,0.0,0.0,0.0,0.0,0.6918918918918919,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5776173285198556,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.759231003967043,0.0,0.625,0.45454545454545453,0.8378378378378378,0.9662447257383966,0.7025316455696202,0.7602339181286549,0.0,0.0,0.9015544041450777,0.7325513196480938,0.7719054242002782,0.797752808988764
20,0.8157894736842105,0.0,1.0,0.0,0.0,0.6683417085427136,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5916398713826366,0.625,0.0,0.0,0.25,0.9,0.0,0.7558425584255842,0.0,0.45454545454545453,0.6206896551724138,0.7410714285714286,0.9687032418952618,0.7193675889328063,0.7953216374269005,0.0,0.0,0.9128205128205128,0.7510017172295363,0.78842177808408,0.8701298701298701
21,0.7880434782608695,0.0,0.5,0.0,0.0,0.7298578199052133,0.7142857142857143,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6016177957532861,0.6666666666666666,0.375,0.0,0.3333333333333333,0.7692307692307693,0.0,0.7629297458893871,0.0,0.6086956521739131,0.5897435897435898,0.7090909090909091,0.9679631014709549,0.7330677290836654,0.7674418604651163,0.0,0.0,0.9119170984455959,0.7502857142857143,0.7725908636212071,0.8607594936708861
22,0.788659793814433,0.0,1.0,0.0,0.0,0.7612612612612613,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6055900621118012,0.5555555555555556,0.3333333333333333,0.0,0.0,0.7727272727272727,0.0,0.7607808857808858,0.0,0.35294117647058826,0.58,0.7027027027027027,0.9682044887780549,0.7341269841269841,0.7789473684210526,0.0,0.0,0.907608695652174,0.762933484934622,0.790356394129979,0.8829787234042553
23,0.7967914438502673,0.0,0.5,0.0,0.0,0.7188940092165899,0.4,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6021052631578947,0.5833333333333334,0.2857142857142857,0.0,0.0,0.72,0.0,0.7687669580946639,0.0,0.4666666666666667,0.5531914893617021,0.7333333333333333,0.969299887682516,0.771484375,0.7735849056603774,0.0,0.0,0.8952879581151832,0.7488636363636364,0.7824720670391061,0.8681318681318682
