Executing COFGA_resnet152_dropOut_weightDecay_batchNorm_300epochs
Total number of images:  11617
Number of train images:  8132
Number of validation images:  3485

Dataloader completed
USING CUDA!
Network constructed
[1], Train loss: 7.054, Val loss: 6.174, Train mAP: 9.455 %, Val mAP: 8.944 %
[2], Train loss: 5.704, Val loss: 6.795, Train mAP: 9.690 %, Val mAP: 9.045 %
[3], Train loss: 5.557, Val loss: 5.499, Train mAP: 10.687 %, Val mAP: 9.516 %
[4], Train loss: 5.413, Val loss: 6.204, Train mAP: 11.555 %, Val mAP: 11.888 %
[5], Train loss: 5.301, Val loss: 6.779, Train mAP: 11.988 %, Val mAP: 10.725 %
[6], Train loss: 5.211, Val loss: 8.562, Train mAP: 11.899 %, Val mAP: 11.079 %
[7], Train loss: 5.156, Val loss: 33.376, Train mAP: 14.536 %, Val mAP: 9.631 %
[8], Train loss: 5.151, Val loss: 6.308, Train mAP: 17.458 %, Val mAP: 13.794 %
[9], Train loss: 5.241, Val loss: 6.131, Train mAP: 14.917 %, Val mAP: 11.956 %
[10], Train loss: 5.263, Val loss: 5.912, Train mAP: 15.913 %, Val mAP: 14.513 %
[11], Train loss: 5.126, Val loss: 5.644, Train mAP: 15.560 %, Val mAP: 13.010 %
[12], Train loss: 5.028, Val loss: 5.906, Train mAP: 17.450 %, Val mAP: 14.921 %
[13], Train loss: 4.961, Val loss: 5.214, Train mAP: 15.222 %, Val mAP: 16.856 %
[14], Train loss: 4.876, Val loss: 5.104, Train mAP: 17.204 %, Val mAP: 18.806 %
[15], Train loss: 4.781, Val loss: 5.530, Train mAP: 20.765 %, Val mAP: 19.259 %
[16], Train loss: 4.689, Val loss: 4.729, Train mAP: 22.287 %, Val mAP: 22.739 %
[17], Train loss: 4.615, Val loss: 4.776, Train mAP: 27.442 %, Val mAP: 25.002 %
[18], Train loss: 4.519, Val loss: 5.155, Train mAP: 30.426 %, Val mAP: 20.568 %
[19], Train loss: 4.452, Val loss: 4.756, Train mAP: 33.571 %, Val mAP: 31.891 %
[20], Train loss: 4.368, Val loss: 4.621, Train mAP: 40.876 %, Val mAP: 25.433 %
[21], Train loss: 4.312, Val loss: 6.458, Train mAP: 37.861 %, Val mAP: 27.186 %
[22], Train loss: 4.236, Val loss: 4.849, Train mAP: 41.287 %, Val mAP: 29.792 %
[23], Train loss: 4.201, Val loss: 4.727, Train mAP: 43.947 %, Val mAP: 26.903 %
[24], Train loss: 4.090, Val loss: 4.774, Train mAP: 44.782 %, Val mAP: 33.290 %
[25], Train loss: 4.032, Val loss: 5.110, Train mAP: 48.950 %, Val mAP: 35.874 %
[26], Train loss: 3.965, Val loss: 5.886, Train mAP: 46.853 %, Val mAP: 31.133 %
[27], Train loss: 3.934, Val loss: 4.556, Train mAP: 45.059 %, Val mAP: 37.826 %
[28], Train loss: 3.837, Val loss: 5.761, Train mAP: 50.028 %, Val mAP: 43.639 %
[29], Train loss: 3.820, Val loss: 4.149, Train mAP: 49.115 %, Val mAP: 43.815 %
[30], Train loss: 3.742, Val loss: 5.530, Train mAP: 49.885 %, Val mAP: 42.753 %
[31], Train loss: 3.746, Val loss: 4.760, Train mAP: 48.275 %, Val mAP: 39.796 %
[32], Train loss: 3.637, Val loss: 6.290, Train mAP: 49.427 %, Val mAP: 38.545 %
[33], Train loss: 3.606, Val loss: 5.335, Train mAP: 52.803 %, Val mAP: 39.355 %
[34], Train loss: 3.571, Val loss: 3.936, Train mAP: 51.491 %, Val mAP: 47.682 %
[35], Train loss: 3.534, Val loss: 5.610, Train mAP: 51.707 %, Val mAP: 35.785 %
[36], Train loss: 3.451, Val loss: 6.807, Train mAP: 51.984 %, Val mAP: 38.841 %
[37], Train loss: 3.457, Val loss: 4.249, Train mAP: 52.053 %, Val mAP: 45.357 %
[38], Train loss: 3.446, Val loss: 9.062, Train mAP: 53.832 %, Val mAP: 51.145 %
[39], Train loss: 3.412, Val loss: 4.211, Train mAP: 54.929 %, Val mAP: 49.493 %
[40], Train loss: 3.377, Val loss: 3.942, Train mAP: 52.500 %, Val mAP: 52.101 %
[41], Train loss: 3.329, Val loss: 4.385, Train mAP: 58.720 %, Val mAP: 44.507 %
[42], Train loss: 3.278, Val loss: 3.835, Train mAP: 55.970 %, Val mAP: 56.072 %
[43], Train loss: 3.236, Val loss: 4.294, Train mAP: 58.412 %, Val mAP: 47.703 %
[44], Train loss: 3.183, Val loss: 3.892, Train mAP: 57.971 %, Val mAP: 51.405 %
[45], Train loss: 3.144, Val loss: 4.461, Train mAP: 58.683 %, Val mAP: 54.261 %
