epoch,sunroof,luggage_carrier,open_cargo_area,enclosed_cab,spare_wheel,wrecked,flatbed,ladder,enclosed_box,soft_shell_box,harnessed_to_a_cart,ac_vents,bus,cement mixer,crane truck,dedicated agricultural vehicle,hatchback,jeep,light truck,minibus,minivan,pickup,prime mover,sedan,tanker,truck,van,large vehicle,small vehicle,black,blue,green,other,red,silver/grey,white,yellow
1,0.09375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28651685393258425,0.09090909090909091,0.0,0.0,0.058823529411764705,0.043478260869565216,0.0,0.5020314880650076,0.0,0.0,0.0,0.0,0.9588264299802761,0.3356164383561644,0.0,0.1,0.0,0.10526315789473684,0.3502673796791444,0.5730416372618208,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30158730158730157,0.0,0.0,0.0,0.0,0.0,0.0,0.5448969578017664,0.0,0.0,0.0,0.0,0.9589276930644368,0.4489795918367347,0.0,0.0,0.0,0.0,0.5808219178082191,0.7501749475157453,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.25,0.0,0.0,0.0,0.0,0.0,0.6285714285714286,0.0,0.0,0.0,0.0,0.9589276930644368,0.42528735632183906,0.0,0.0,0.0,0.0,0.613855035279025,0.7415196743554953,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49557522123893805,0.0,0.0,0.0,0.0,0.0,0.0,0.6505556991470665,0.0,0.0,0.3333333333333333,0.0,0.9589024240187031,0.45081967213114754,0.0,0.0,0.0,0.0,0.6254523522316043,0.7606164383561644,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47010309278350515,0.0,0.0,0.0,0.0,0.0,0.0,0.6762881035878069,0.0,0.0,0.0,0.3,0.9592414727250339,0.48066298342541436,0.125,0.0,0.0,0.0,0.6461173681090694,0.7781339031339032,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5079928952042628,0.0,0.0,0.0,0.0,0.0,0.0,0.6877659574468085,0.0,0.0,0.0,0.3,0.9592414727250339,0.47330960854092524,0.0,0.0,0.0,0.0,0.6742556917688266,0.7999284180386542,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5038284839203675,0.0,0.0,0.0,0.0,0.0,0.0,0.6960219478737997,0.0,0.0,1.0,0.16666666666666666,0.9590305118110236,0.5570934256055363,0.0,0.0,0.0,0.0,0.6988287785833798,0.796830985915493,0.0
8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5391156462585034,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.6891275167785235,0.0,0.0,0.0,0.4444444444444444,0.9593746152899175,0.5271739130434783,0.0,0.0,0.0,0.0,0.686263425664217,0.8043010752688172,0.6666666666666666
9,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5161290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.6619422572178477,0.0,0.0,0.0,0.4,0.9590305118110236,0.5439814814814815,0.0,0.0,0.0,0.0,0.6891580161476355,0.7783303730017762,0.5
10,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4893203883495146,0.0,0.0,0.0,0.0,0.0,0.0,0.663254593175853,0.0,0.0,0.5,0.3333333333333333,0.9590405904059041,0.5704697986577181,0.0,0.0,0.0,0.0,0.6680280046674446,0.7952434039390561,0.0
